"country","iso3","price","b_mt_pot","f_mt_curr","b_mt_curr","b_diff_mt","b_diff_mmt"
"Angola","AGO",1700,6730417.91347351,NA,0,6730417.91347351,6.73041791347351
"Australia","AUS",1700,241153.413998292,70570.308,15529.823,225623.590998292,0.225623590998292
"Bangladesh","BGD",1700,6198953.03309696,113239,0,6198953.03309696,6.19895303309696
"Belize","BLZ",1700,782325.541176013,NA,0,782325.541176013,0.782325541176013
"Brazil","BRA",1700,42774445.0745638,0,20900,42753545.0745638,42.7535450745638
"Brunei","BRN",1700,737313.686430318,219.03,0,737313.686430318,0.737313686430318
"Cambodia","KHM",1700,1292069.59575119,700,2500,1289569.59575119,1.28956959575119
"Chile","CHL",1700,428980.703790453,726914,307442,121538.703790453,0.121538703790453
"Colombia","COL",1700,9115908.21798349,NA,0,9115908.21798349,9.11590821798349
"Costa Rica","CRI",1700,1196781.66467671,700,20,1196761.66467671,1.19676166467671
"Cuba","CUB",1700,2917964.70903856,0,1113,2916851.70903856,2.91685170903856
"Democratic Republic of the Congo","COD",1700,171975.749313462,NA,0,171975.749313462,0.171975749313462
"Dominican Republic","DOM",1700,366405.389926883,350,0,366405.389926883,0.366405389926883
"Ecuador","ECU",1700,2157013.98075202,347.3,7.6,2157006.38075202,2.15700638075202
"Egypt","EGY",1700,1106730.9954745,1094562,0,1106730.9954745,1.1067309954745
"El Salvador","SLV",1700,673639.494815591,3,17,673622.494815591,0.673622494815591
"Equatorial Guinea","GNQ",1700,246144.688240589,NA,0,246144.688240589,0.246144688240589
"Fiji","FJI",1700,155627.837503365,0,0,155627.837503365,0.155627837503365
"French Guiana","GUF",1700,13749236.7763012,NA,0,13749236.7763012,13.7492367763012
"Gabon","GAB",1700,1597290.97452105,NA,0,1597290.97452105,1.59729097452105
"Gambia","GMB",1700,850187.8742885,0,20,850167.8742885,0.8501678742885
"Georgia","GEO",1700,1674.39042164242,20,0,1674.39042164242,0.00167439042164242
"Guatemala","GTM",1700,245297.225035368,NA,0,245297.225035368,0.245297225035368
"Guinea","GIN",1700,11734025.3763158,NA,0,11734025.3763158,11.7340253763158
"Guinea Bissau","GNB",1700,9571528.91289106,NA,0,9571528.91289106,9.57152891289106
"Guyana","GUY",1700,14218211.5922722,9.24,0,14218211.5922722,14.2182115922722
"Haiti","HTI",1700,22430.4254004222,NA,0,22430.4254004222,0.0224304254004222
"Honduras","HND",1700,1519140.77158824,NA,0,1519140.77158824,1.51914077158824
"India","IND",1700,31854535.7098748,90000,12600,31841935.7098748,31.8419357098748
"Indonesia","IDN",1700,112275492.798753,864095,35000,112240492.798753,112.240492798753
"Iran","IRN",1700,29042.5391837468,10162,0,29042.5391837468,0.0290425391837468
"Ivory Coast","CIV",1700,260034.365118001,783,0,260034.365118001,0.260034365118001
"Kenya","KEN",1700,609025.48262329,4,0,609025.48262329,0.60902548262329
"Liberia","LBR",1700,572442.211973474,NA,0,572442.211973474,0.572442211973474
"Madagascar","MDG",1700,6573910.98831511,NA,0,6573910.98831511,6.57391098831511
"Malaysia","MYS",1700,13408778.9135551,42509.025,12225.601,13396553.3125551,13.3965533125551
"Mauritania","MRT",1700,6519843.51181324,NA,0,6519843.51181324,6.51984351181324
"Mexico","MEX",1700,17306994.4351296,9321.50261,9038.95798,17297955.4771496,17.2979554771496
"Morocco","MAR",1700,3914339.10043223,134,376,3913963.10043223,3.91396310043223
"Mozambique","MOZ",1700,7653983.91731212,0,0,7653983.91731212,7.65398391731212
"Myanmar","MMR",1700,23780606.6474861,486.348065,0,23780606.6474861,23.7806066474861
"Namibia","NAM",1700,3929620.74661066,0,413,3929207.74661066,3.92920774661066
"New Caledonia","NCL",1700,90971.1069521624,NA,0,90971.1069521624,0.0909711069521624
"Nicaragua","NIC",1700,1714000.85355057,NA,0,1714000.85355057,1.71400085355057
"North Korea","PRK",1700,153346.558186628,100,60250,93096.5581866278,0.0930965581866278
"Oman","OMN",1700,9814130.78421369,NA,0,9814130.78421369,9.81413078421369
"Pakistan","PAK",1700,5599395.65908864,NA,0,5599395.65908864,5.59939565908864
"Panama","PAN",1700,2359209.42947112,1200,0,2359209.42947112,2.35920942947112
"Papua New Guinea","PNG",1700,11249448.5047787,1,0,11249448.5047787,11.2494485047787
"Peru","PER",1700,9933491.59339574,3.16,20974.99,9912516.60339574,9.91251660339574
"Philippines","PHL",1700,2038273.15717088,379663,38287,1999986.15717088,1.99998615717088
"Puerto Rico and Virgin Islands of the United States",NA,1700,15401.9921775939,NA,0,15401.9921775939,0.0154019921775939
"Qatar","QAT",1700,61048.9754908624,0,0,61048.9754908624,0.0610489754908624
"Republique du Congo","COG",1700,841837.886337852,NA,0,841837.886337852,0.841837886337852
"Russia","RUS",1700,208291.511254219,13523,5799,202492.511254219,0.202492511254219
"Saudi Arabia","SAU",1700,2361.32850869802,8275,0,2361.32850869802,0.00236132850869802
"Senegal","SEN",1700,4236919.1959455,262.8,1195.43,4235723.7659455,4.2357237659455
"Sierra Leone","SLE",1700,6149890.11733411,NA,0,6149890.11733411,6.14989011733411
"Somalia","SOM",1700,125891.165293626,NA,0,125891.165293626,0.125891165293626
"South Africa","ZAF",1700,1050651.25668802,80,3580,1047071.25668802,1.04707125668802
"Sri Lanka","LKA",1700,2937903.49008659,121,0,2937903.49008659,2.93790349008659
"Suriname","SUR",1700,11509747.2437893,2.3,0,11509747.2437893,11.5097472437893
"Tanzania","TZA",1700,607801.284629911,390,0,607801.284629911,0.607801284629911
"Thailand","THA",1700,6669738.61798738,19786,197201,6472537.61798738,6.47253761798738
"Trinidad and Tobago","TTO",1700,2865804.78954096,NA,0,2865804.78954096,2.86580478954096
"Tunisia","TUN",1700,11317.2524705208,15022,115,11202.2524705208,0.0112022524705208
"Turkey","TUR",1700,13535.2669290992,148401,329,13206.2669290992,0.0132062669290992
"Venezuela","VEN",1700,23026057.7880462,0,7,23026050.7880462,23.0260507880462
"Vietnam","VNM",1700,15413252.8018856,303493,225384,15187868.8018856,15.1878688018856
"Western Sahara","ESH",1700,2305894.47084287,NA,0,2305894.47084287,2.30589447084287
"Yemen","YEM",1700,336707.219550236,NA,0,336707.219550236,0.336707219550236
