"rcp","sovereign","sovereign_iso3","country","eez_id","eez","msy_avg1","msy_avg2","msy_perc"
"RCP 6.0","Albania","ALB","Albania",82,"Albanian Exclusive Economic Zone",19164527.2291014,19026944.4529488,-0.717903314325815
"RCP 6.0","Algeria","DZA","Algeria",84,"Algerian Exclusive Economic Zone",108039556.809899,99994874.790167,-7.44605240642315
"RCP 6.0","Angola","AGO","Angola",200,"Angolan Exclusive Economic Zone",261299398.057572,48528738.1058002,-81.427918140436
"RCP 6.0","Antarctica","ATA","Antarctica",213,"Antarctic 200NM zone beyond the coastline",16904745.8237614,18979684.9778713,12.2742996300683
"RCP 6.0","Antigua and Barbuda","ATG","Antigua and Barbuda",120,"Antigua and Barbuda Exclusive Economic Zone",7342479.30888114,7690858.70047887,4.74471056631173
"RCP 6.0","Argentina","ARG","Argentina",172,"Argentinean Exclusive Economic Zone",1515704412.48166,1526591543.02052,0.718288503299807
"RCP 6.0","Australia","AUS","Australia",0,"Australian Exclusive Economic Zone",2051953187.07903,2059109149.58595,0.348739072215675
"RCP 6.0","Australia","AUS","Christmas Island",2,"Christmas Island Exclusive Economic Zone",20410091.8574922,20511474.9952229,0.496730433349039
"RCP 6.0","Australia","AUS","Cocos Islands",1,"Cocos Islands Exclusive Economic Zone",23166522.3363915,23528313.7359463,1.56169922399814
"RCP 6.0","Australia","AUS","Macquarie Island",4,"Australian Exclusive Economic Zone (Macquarie Island)",3599847.72071958,5021373.25426028,39.4884907313955
"RCP 6.0","Australia","AUS","Norfolk Island",3,"Norfolk Island Exclusive Economic Zone",42740669.3298183,44682629.2579024,4.54358801238826
"RCP 6.0","Australia - Papua New Guinea","Joint","Australia - Papua New Guinea",239,"Protected Zone established under the Torres Strait Treaty",2479525.43142487,2588093.65025748,4.37858863864194
"RCP 6.0","Australia/Indonesia","Joint","Australia/Indonesia",2551,"Area of overlap between Australian Seabed Jurisdiction and Indonesian Exclusive Economic Zone Jurisdiction",25677756.1313747,25251164.5856312,-1.66132719526165
"RCP 6.0","Bahamas","BHS","Bahamas",110,"Bahamas Exclusive Economic Zone",109747994.736124,94074639.1709884,-14.2812227255905
"RCP 6.0","Bahrain","BHR","Bahrain",52,"Bahraini Exclusive Economic Zone",1896944.3859156,4491.27651075021,-99.7632362580528
"RCP 6.0","Bangladesh","BGD","Bangladesh",204,"Bangladeshi Exclusive Economic Zone",50257401.3783143,52868113.300575,5.19468148105881
"RCP 6.0","Barbados","BRB","Barbados",124,"Barbados Exclusive Economic Zone",9541989.37574433,9313804.91474127,-2.39137198772307
"RCP 6.0","Belgium","BEL","Belgium",59,"Belgian Exclusive Economic Zone",9140709.96930918,7672185.78218905,-16.0657562930105
"RCP 6.0","Belize","BLZ","Belize",164,"Belizean Exclusive Economic Zone",8781686.43298857,8641346.56546811,-1.5980970009731
"RCP 6.0","Benin","BEN","Benin",99,"Beninese Exclusive Economic Zone",12263944.8541333,1338544.94996395,-89.0855269989834
"RCP 6.0","Brazil","BRA","Brazil",171,"Brazilian Exclusive Economic Zone",658284040.155834,453350031.808642,-31.1315474546031
"RCP 6.0","Brazil","BRA","Trindade",87,"Brazilian Exclusive Economic Zone (Trindade)",14327804.4534808,14503047.4757903,1.22309752955145
"RCP 6.0","Brunei","BRN","Brunei",247,"Bruneian Exclusive Economic Zone",12346133.2038474,11061931.6895678,-10.4016495940558
"RCP 6.0","Bulgaria","BGR","Bulgaria",71,"Bulgarian Exclusive Economic Zone",34856787.7666857,34839244.4116713,-0.0503298098831516
"RCP 6.0","Cambodia","KHM","Cambodia",24,"Cambodian Exclusive Economic Zone",31147413.5629353,30006694.2560465,-3.66232433580388
"RCP 6.0","Cameroon","CMR","Cameroon",197,"Cameroonian Exclusive Economic Zone",27190263.6888247,1961201.5859623,-92.7871181816881
"RCP 6.0","Canada","CAN","Canada",218,"Canadian Exclusive Economic Zone",2121778051.29984,2352883330.0781,10.8920571893314
"RCP 6.0","Cape Verde","CPV","Cape Verde",56,"Cape Verdean Exclusive Economic Zone",154180392.197218,160723457.829529,4.24377285533271
"RCP 6.0","Chile","CHL","Chile",224,"Chilean Exclusive Economic Zone",3528497159.18976,3275080304.94524,-7.1820053357421
"RCP 6.0","Chile","CHL","Easter Island",225,"Chilean Exclusive Economic Zone (Easter Island)",22590911.9566944,22640657.8199387,0.220202988439317
"RCP 6.0","China","CHN","China",209,"Chinese Exclusive Economic Zone",1104177957.79637,864281757.450729,-21.7262261623489
"RCP 6.0","Colombia","COL","Colombia",132,"Colombian Exclusive Economic Zone",130026623.076651,114326831.845592,-12.0742897566476
"RCP 6.0","Colombia","COL","Quita Sueño Bank",258,"Colombian Exclusive Economic Zone (Quitasueño)",1376924.27337237,1340686.87378946,-2.63176416333731
"RCP 6.0","Colombia","COL","Serrana Bank",259,"Colombian Exclusive Economic Zone (Serrara)",1119389.96229144,1071737.81850561,-4.25697436917238
"RCP 6.0","Comoro Islands","COM","Comoro Islands",28,"Comoran Exclusive Economic Zone",14023666.0018958,13707690.8857102,-2.25315631549516
"RCP 6.0","Costa Rica","CRI","Costa Rica",130,"Costa Rican Exclusive Economic Zone",134557934.382824,41293898.961892,-69.3114351440557
"RCP 6.0","Croatia","HRV","Croatia",187,"Croatian Exclusive Economic Zone",97069235.0935648,97028400.1816905,-0.0420678208032841
"RCP 6.0","Cuba","CUB","Cuba",112,"Cuban Exclusive Economic Zone",130200067.646098,39336536.4439551,-69.7876221148538
"RCP 6.0","Cyprus","CYP","Cyprus",81,"Cypriote Exclusive Economic Zone",60223971.8273403,50433699.5040819,-16.2564374719866
"RCP 6.0","Democratic Republic of the Congo","COD","Democratic Republic of the Congo",199,"Democratic Republic of the Congo Exclusive Economic Zone",10822215.951914,1460258.01940356,-86.5068482657168
"RCP 6.0","Denmark","DNK","Denmark",175,"Danish Exclusive Economic Zone",236148047.761039,245356017.585843,3.89923605640913
"RCP 6.0","Denmark","DNK","Faeroe Islands",141,"Faeroe Islands Exclusive Economic Zone",252227441.105802,315832575.806589,25.2173730272698
"RCP 6.0","Denmark","DNK","Greenland",145,"Greenlandic Exclusive Economic Zone",596309411.864813,699417037.914088,17.2909606988813
"RCP 6.0","Disputed","Disputed","Conflict Zone",217,"Conflict Zone",93304194.1061811,62101813.9474081,-33.4415622552448
"RCP 6.0","Disputed","Disputed","Japan - South Korea Conflict Zone",226,"Japan - South Korea Conflict Zone",114047838.82529,86986276.810568,-23.7282549967276
"RCP 6.0","Disputed","Disputed","Kenya/Somalia",254,"Disputed Kenya/Somalia",3496512.37270867,3503737.86862667,0.206648658657485
"RCP 6.0","Disputed","Disputed","Paracel Islands",22,"Paracel Islands Exclusive Economic Zone",103327182.023332,77545759.388205,-24.9512491585275
"RCP 6.0","Disputed","Disputed","Southern Kuriles",27,"Russia-Japan conflict zone",143875051.658807,150604711.362413,4.67743338821867
"RCP 6.0","Disputed","Disputed","Spratly Islands",23,"Spratly Islands Exclusive Economic Zone",163941029.465002,167172572.519457,1.97116186533683
"RCP 6.0","Disputed","Disputed","Sudan/Egypt",2114,"Disputed Sudan-Egypt",5396583.77093186,5064589.14623854,-6.15194053841204
"RCP 6.0","Disputed","Disputed","Trinidad and Tobago/Venezuela/Guyana",260,"Disputed Trinidad and Tobago/Venezuela/Guyana",86198.2525937617,86194.9911776466,-0.00378362207698645
"RCP 6.0","Disputed","Disputed","Western Sahara/Mauritania",257,"Disputed Western Sahara/Mauritania",17733090.8536588,26150845.9225593,47.4691926994987
"RCP 6.0","Djibouti","DJI","Djibouti",46,"Djiboutian Exclusive Economic Zone",4982084.30896432,4978285.05822482,-0.0762582586702122
"RCP 6.0","Dominica","DMA","Dominica",123,"Dominican Exclusive Economic Zone",4229824.81663208,4241699.39733568,0.280734574559836
"RCP 6.0","Dominican Republic","DOM","Dominican Republic",115,"Dominican Republic Exclusive Economic Zone",27977586.878326,29002312.9594671,3.66266785479983
"RCP 6.0","East Timor","TLS","East Timor",231,"East Timor Exclusive Economic Zone",23848195.5490104,24986638.0769972,4.77370510337866
"RCP 6.0","East Timor","TLS","Oecussi Ambeno",237,"Oecussi Ambeno Exclusive Economic Zone",1352471.56029607,1408468.85484959,4.14036762009646
"RCP 6.0","Ecuador","ECU","Ecuador",137,"Ecuadorean Exclusive Economic Zone",118552272.022423,109904275.437701,-7.29466963154165
"RCP 6.0","Ecuador","ECU","Galapagos Islands",109,"Ecuadorean Exclusive Economic Zone (Galapagos)",227577400.865671,211755250.364137,-6.95242604992811
"RCP 6.0","Egypt","EGY","Egypt",214,"Egyptian Exclusive Economic Zone",157522648.108836,148754762.887323,-5.56611085883659
"RCP 6.0","El Salvador","SLV","El Salvador",134,"El Salvador Exclusive Economic Zone",33667295.4626062,11800055.161851,-64.950985816615
"RCP 6.0","Equatorial Guinea","GNQ","Equatorial Guinea",104,"Equatorial Guinean Exclusive Economic Zone",107345729.810756,12715634.2320196,-88.1545039058037
"RCP 6.0","Eritrea","ERI","Eritrea",45,"Eritrean Exclusive Economic Zone",34894343.7877285,31826201.3789381,-8.79266401298364
"RCP 6.0","Estonia","EST","Estonia",70,"Estonian Exclusive Economic Zone",31036086.9804337,36048453.6101422,16.1501243145391
"RCP 6.0","Fiji","FJI","Fiji",18,"Fijian Exclusive Economic Zone",135269686.803542,158485913.577615,17.1629189973593
"RCP 6.0","Finland","FIN","Finland",174,"Finnish Exclusive Economic Zone",37959826.2056208,63300389.4571114,66.75626783491
"RCP 6.0","France","FRA","Amsterdam Island and Saint Paul Island",92,"Amsterdam Island & St. Paul Island Exclusive Economic Zone",15639914.1603216,15915476.3409577,1.76191619603103
"RCP 6.0","France","FRA","Bassas da India",34,"Bassas da India Exclusive Economic Zone",5649216.2706262,5635706.74527979,-0.239139815139578
"RCP 6.0","France","FRA","Clipperton Island",107,"Clipperton Island Exclusive Economic Zone",10375846.7082438,10271684.3843656,-1.00389227797073
"RCP 6.0","France","FRA","Crozet Islands",91,"Crozet Islands Exclusive Economic Zone",4929726.62597267,6846960.9026085,38.8912899659531
"RCP 6.0","France","FRA","France",179,"French Exclusive Economic Zone",536096146.270845,534283978.892863,-0.338030293742586
"RCP 6.0","France","FRA","French Guiana",169,"French Guiana Exclusive Economic Zone",24220008.0358383,24179643.3244269,-0.166658538476029
"RCP 6.0","France","FRA","French Polynesia",147,"French Polynesian Exclusive Economic Zone",192710814.62284,206255119.511509,7.02830555471299
"RCP 6.0","France","FRA","Glorioso Islands",30,"Glorioso Exclusive Economic Zone",10855016.6148675,12760549.4711663,17.5543983386342
"RCP 6.0","France","FRA","Guadeloupe",252,"Guadeloupean Exclusive Economic Zone",9274948.84711761,9610609.59854141,3.61900380214072
"RCP 6.0","France","FRA","Ile Europa",35,"Ile Europa Exclusive Economic Zone",5722634.49255656,5691544.09810166,-0.543288139323666
"RCP 6.0","France","FRA","Ile Tromelin",36,"Ile Tromelin Exclusive Economic Zone",8893888.13253411,8894234.35464409,0.00389280936331972
"RCP 6.0","France","FRA","Juan de Nova Island",33,"Juan de Nova Exclusive Economic Zone",13588729.8900787,15754903.7331645,15.940958872598
"RCP 6.0","France","FRA","Kerguelen Islands",93,"Kerguelen Islands Exclusive Economic Zone",11317542.7919037,14018145.1523507,23.8620910042316
"RCP 6.0","France","FRA","Martinique",251,"Martinique Exclusive Economic Zone",6926380.50185,6786007.07228537,-2.02664912109779
"RCP 6.0","France","FRA","Mayotte",29,"Mayotte Exclusive Economic Zone",13697171.9347449,13828523.8037612,0.958970725067344
"RCP 6.0","France","FRA","New Caledonia",5,"New Caledonian Exclusive Economic Zone",196880280.178813,227880073.7241,15.7455045864072
"RCP 6.0","France","FRA","Northern Saint-Martin",221,"Saint-Martin Exclusive Economic Zone",1581090.51858167,1626350.33928679,2.86256986385102
"RCP 6.0","France","FRA","Réunion",32,"Réunion Exclusive Economic Zone",12637838.0400167,12539757.7546684,-0.776084366944575
"RCP 6.0","France","FRA","Saint Pierre and Miquelon",219,"Saint-Pierre and Miquelon Exclusive Economic Zone",11479635.4982446,12721724.9076635,10.8199377028022
"RCP 6.0","France","FRA","Wallis and Futuna",161,"Wallis and Futuna Exclusive Economic Zone",18687866.2795579,20241128.6355186,8.31160889491084
"RCP 6.0","Gabon","GAB","Gabon",198,"Gabonese Exclusive Economic Zone",191135274.673954,14094711.2500225,-92.6257927668946
"RCP 6.0","Gambia","GMB","Gambia",65,"Gambian Exclusive Economic Zone",12145635.1445233,1483640.85191622,-87.7845758228196
"RCP 6.0","Georgia","GEO","Georgia",74,"Georgian Exclusive Economic Zone",16937889.3961777,17182400.815401,1.44357666710496
"RCP 6.0","Germany","DEU","Germany",176,"German Exclusive Economic Zone",134667775.541638,127209359.938521,-5.53838182380222
"RCP 6.0","Ghana","GHA","Ghana",106,"Ghanaian Exclusive Economic Zone",106977656.683944,11063071.5741191,-89.6585213052442
"RCP 6.0","Greece","GRC","Greece",80,"Greek Exclusive Economic Zone",478242739.082317,451589615.00107,-5.57313721738689
"RCP 6.0","Grenada","GRD","Grenada",125,"Grenadian Exclusive Economic Zone",5074442.47660843,4956552.10276965,-2.3232182526891
"RCP 6.0","Guatemala","GTM","Guatemala",136,"Guatemalan Exclusive Economic Zone",33310360.2873421,11977717.9177366,-64.0420643475052
"RCP 6.0","Guinea","GIN","Guinea",194,"Guinean Exclusive Economic Zone",125035834.729516,39869302.36169,-68.1136992063616
"RCP 6.0","Guinea Bissau","GNB","Guinea Bissau",193,"Guinea Bissau Exclusive Economic Zone",99848818.6669082,8868619.12731759,-91.1179528754336
"RCP 6.0","Guyana","GUY","Guyana",167,"Guyanese Exclusive Economic Zone",24692338.0923896,23834372.1828929,-3.47462401610757
"RCP 6.0","Haiti","HTI","Haiti",114,"Haitian Exclusive Economic Zone",17001412.772568,12323856.4493257,-27.5127507685101
"RCP 6.0","High Seas","ABNJ","FAO Antarctica",9213,"Antarctica",27131313.1071729,33048649.0890134,21.8099874431662
"RCP 6.0","High Seas","ABNJ","FAO Atlantic, Eastern Central",9264,"Atlantic, Eastern Central",216285296.708295,213727605.647625,-1.18255429268488
"RCP 6.0","High Seas","ABNJ","FAO Atlantic, Northeast",9262,"Atlantic, Northeast",561121189.286803,629901208.655341,12.2576050738628
"RCP 6.0","High Seas","ABNJ","FAO Atlantic, Northwest",9261,"Atlantic, Northwest",352115816.908901,346507235.58821,-1.5928228870623
"RCP 6.0","High Seas","ABNJ","FAO Atlantic, Southeast",9267,"Atlantic, Southeast",295678043.728344,308720793.805627,4.41113243067391
"RCP 6.0","High Seas","ABNJ","FAO Atlantic, Southwest",9266,"Atlantic, Southwest",353004436.002193,367567728.985515,4.12552690505893
"RCP 6.0","High Seas","ABNJ","FAO Atlantic, Western-Central",9263,"Atlantic, Western-Central",146620999.660979,146523826.791108,-0.066274865193796
"RCP 6.0","High Seas","ABNJ","FAO Indian Ocean, Eastern",9270,"Indian Ocean, Eastern",352540472.30886,398902978.844024,13.1509741935518
"RCP 6.0","High Seas","ABNJ","FAO Indian Ocean, Western",9269,"Indian Ocean, Western",416487159.983571,422574648.122787,1.46162684570064
"RCP 6.0","High Seas","ABNJ","FAO Pacific, Eastern Central",9275,"Pacific, Eastern Central",677404238.827258,683196968.56214,0.855136328185885
"RCP 6.0","High Seas","ABNJ","FAO Pacific, Northeast",9273,"Pacific, Northeast",397280780.684034,428335844.67104,7.816905699172
"RCP 6.0","High Seas","ABNJ","FAO Pacific, Northwest",9272,"Pacific, Northwest",496930647.73085,513292497.126587,3.29258206762854
"RCP 6.0","High Seas","ABNJ","FAO Pacific, Southeast",9277,"Pacific, Southeast",701987350.860501,798124493.740488,13.6949964642727
"RCP 6.0","High Seas","ABNJ","FAO Pacific, Southwest",9276,"Pacific, Southwest",440881179.346904,493972745.026298,12.04214835345
"RCP 6.0","High Seas","ABNJ","FAO Pacific, Western Central",9274,"Pacific, Western Central",127658934.683467,128301488.334022,0.503336215477931
"RCP 6.0","Honduras","HND","Honduras",133,"Honduran Exclusive Economic Zone",44024207.8557938,41808307.3757266,-5.033368203525
"RCP 6.0","Iceland","ISL","Iceland",143,"Icelandic Exclusive Economic Zone",551078971.990725,579530538.565012,5.16288372817198
"RCP 6.0","India","IND","Andaman and Nicobar",26,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",143011268.65602,143440897.147097,0.300415830944118
"RCP 6.0","India","IND","India",203,"Indian Exclusive Economic Zone",871749809.185225,879758829.945637,0.91872928173011
"RCP 6.0","Indonesia","IDN","Indonesia",216,"Indonesian Exclusive Economic Zone",2496701782.74432,2503137351.00787,0.25776279361945
"RCP 6.0","Iran","IRN","Iran",191,"Iranian Exclusive Economic Zone",77744961.0040347,15466334.7812175,-80.1063186842233
"RCP 6.0","Iraq","IRQ","Iraq",192,"Iraqi Exclusive Economic Zone",303116.123978079,303230.525877603,0.0377419379816182
"RCP 6.0","Ireland","IRL","Ireland",181,"Irish Exclusive Economic Zone",628466716.940178,675064523.167205,7.41452251503438
"RCP 6.0","Israel","ISR","Israel",79,"Israeli Exclusive Economic Zone",30687188.3154273,26696650.3602181,-13.0039217480315
"RCP 6.0","Italy","ITA","Italy",184,"Italian Exclusive Economic Zone",662507183.69323,613133415.085427,-7.45256350769859
"RCP 6.0","Ivory Coast","CIV","Ivory Coast",195,"Ivory Coast Exclusive Economic Zone",87390053.3518499,9190167.12084147,-89.4837378301624
"RCP 6.0","Jamaica","JAM","Jamaica",166,"Jamaican Exclusive Economic Zone",35116014.1301422,30630655.5191365,-12.7729718822376
"RCP 6.0","Japan","JPN","Japan",210,"Japanese Exclusive Economic Zone",2396244544.60796,2035307459.78423,-15.0626147751032
"RCP 6.0","Joint Development","Joint","Australia - East Timor",238,"Joint Development Area Australia - East Timor",20408918.828454,20008521.9016593,-1.96187230769124
"RCP 6.0","Joint Regime","Joint","Colombia - Jamaica",165,"Colombia - Jamaica (Joint Regime)",4706895.46572823,4744798.87739218,0.805274133235575
"RCP 6.0","Joint Regime","Joint","Japan - Korea",211,"Joint Japan - Korea",137248011.157472,103273407.188838,-24.7541685173514
"RCP 6.0","Joint Regime","Joint","Nigeria - Sao Tome and Principe",201,"Nigeria - Sao Tome and Principe Joint",688379.560691003,646755.417298762,-6.04668496410009
"RCP 6.0","Kenya","KEN","Kenya",43,"Kenyan Exclusive Economic Zone",19464432.6389023,19584877.7330919,0.61879581297907
"RCP 6.0","Kiribati","KIR","Kiribati",212,"Kiribati Exclusive Economic Zone",76225445.9890185,76228770.6142804,0.00436156878948504
"RCP 6.0","Kiribati","KIR","Line Group",148,"Kiribati Exclusive Economic Zone (Line Group)",45238033.5188756,44726268.4081505,-1.13127178817697
"RCP 6.0","Kiribati","KIR","Phoenix Group",157,"Kiribati Exclusive Economic Zone (Phoenix Group)",24131235.0081086,23464994.0961412,-2.76090681535175
"RCP 6.0","Kuwait","KWT","Kuwait",51,"Kuwaiti Exclusive Economic Zone",6219672.92292107,5315194.78611589,-14.5422138433027
"RCP 6.0","Latvia","LVA","Latvia",69,"Latvian Exclusive Economic Zone",30976618.0386468,32085942.6983354,3.58116776435913
"RCP 6.0","Lebanon","LBN","Lebanon",78,"Lebanese Exclusive Economic Zone",22643132.4029585,19531792.1731193,-13.7407677280229
"RCP 6.0","Liberia","LBR","Liberia",97,"Liberian Exclusive Economic Zone",100738559.244582,10656317.6394917,-89.4218085712151
"RCP 6.0","Libya","LBY","Libya",67,"Libyan Exclusive Economic Zone",350249976.763628,297180104.298685,-15.1519988538809
"RCP 6.0","Lithuania","LTU","Lithuania",189,"Lithuanian Exclusive Economic Zone",7628909.94829834,7620621.99097459,-0.108638814455995
"RCP 6.0","Madagascar","MDG","Madagascar",42,"Madagascan Exclusive Economic Zone",184864120.066105,189897537.65376,2.72276609752907
"RCP 6.0","Malaysia","MYS","Malaysia",206,"Malaysian Exclusive Economic Zone",303923441.561601,281408031.055712,-7.40825070623098
"RCP 6.0","Maldives","MDV","Maldives",39,"Maldives Exclusive Economic Zone",142831041.206518,142982488.722676,0.106032634698068
"RCP 6.0","Malta","MLT","Malta",68,"Maltese Exclusive Economic Zone",72886139.0549117,60412680.6361133,-17.11362212423
"RCP 6.0","Marshall Islands","MHL","Marshall Islands",11,"Marshall Islands Exclusive Economic Zone",188457524.324391,190762824.096442,1.22324634175001
"RCP 6.0","Mauritania","MRT","Mauritania",64,"Mauritanian Exclusive Economic Zone",95422301.1551349,92186376.1514669,-3.39116219635822
"RCP 6.0","Mauritius","MUS","Mauritius",37,"Mauritian Exclusive Economic Zone",126776510.077256,131477309.976025,3.70794234350234
"RCP 6.0","Mexico","MEX","Mexico",135,"Mexican Exclusive Economic Zone",1179960230.24681,715880684.438227,-39.330100618011
"RCP 6.0","Micronesia","FSM","Micronesia",9,"Micronesian Exclusive Economic Zone",283344643.262798,286681704.42341,1.17773927969286
"RCP 6.0","Monaco","MCO","Monaco",185,"Monégasque Exclusive Economic Zone",483025.009177875,482151.616837499,-0.180817209001699
"RCP 6.0","Montenegro","MNE","Montenegro",186,"Montenegrin Exclusive Economic Zone",12264715.6406013,12376367.1192554,0.91034706328236
"RCP 6.0","Morocco","MAR","Morocco",62,"Moroccan Exclusive Economic Zone",308509483.334413,332438807.863542,7.7564307814782
"RCP 6.0","Morocco","MAR","Western Sahara",63,"Western Saharan Exclusive Economic Zone",247404722.007074,265967049.118229,7.50281844282045
"RCP 6.0","Mozambique","MOZ","Mozambique",41,"Mozambican Exclusive Economic Zone",106305634.485657,105733553.147336,-0.538147710691953
"RCP 6.0","Myanmar","MMR","Myanmar",205,"Myanmar Exclusive Economic Zone",240675251.316726,242533870.213365,0.77225177348773
"RCP 6.0","Namibia","NAM","Namibia",101,"Namibian Exclusive Economic Zone",415693666.098356,463569292.370838,11.5170449244118
"RCP 6.0","Nauru","NRU","Nauru",10,"Nauruan Exclusive Economic Zone",10004304.2131755,10004282.6744671,-0.000215294415799634
"RCP 6.0","Netherlands","NLD","Aruba",250,"Aruban Exclusive Economic Zone",2678739.51748276,2677639.76371474,-0.0410548976801333
"RCP 6.0","Netherlands","NLD","Bonaire",245,"Bonaire Exclusive Economic Zone",2769690.27162418,2768423.37316096,-0.0457415212164187
"RCP 6.0","Netherlands","NLD","Curaçao",244,"Curaçaoan Exclusive Economic Zone",4005352.74898763,4003806.05558407,-0.0386156601051215
"RCP 6.0","Netherlands","NLD","Netherlands",177,"Dutch Exclusive Economic Zone",165957134.648378,157426057.632505,-5.14053043513244
"RCP 6.0","Netherlands","NLD","Saba",248,"Saba Exclusive Economic Zone",2629030.16732825,2623717.40344676,-0.202080750061635
"RCP 6.0","Netherlands","NLD","Sint-Eustasius",249,"Sint-Eustasius Exclusive Economic Zone",637206.168676255,636173.713963159,-0.162028361282253
"RCP 6.0","Netherlands","NLD","Sint-Maarten",220,"Sint-Maarten Exclusive Economic Zone",118152.000419828,117887.345927666,-0.223994931293262
"RCP 6.0","New Zealand","NZL","Cook Islands",153,"Cook Islands Exclusive Economic Zone",58598026.9995996,58380193.9655402,-0.371741243200746
"RCP 6.0","New Zealand","NZL","New Zealand",162,"New Zealand Exclusive Economic Zone",774033595.600161,827006425.697609,6.84373784271921
"RCP 6.0","New Zealand","NZL","Niue",154,"Niue Exclusive Economic Zone",7728358.11209452,7807356.60010297,1.0221897958483
"RCP 6.0","New Zealand","NZL","Tokelau",156,"Tokelau Exclusive Economic Zone",8827465.8246963,8646961.91320326,-2.04479875739711
"RCP 6.0","Nicaragua","NIC","Nicaragua",131,"Nicaraguan Exclusive Economic Zone",65770271.1409156,45914243.5137447,-30.1899738023408
"RCP 6.0","Nigeria","NGA","Nigeria",196,"Nigerian Exclusive Economic Zone",174270210.945952,14198286.5521987,-91.8527174121559
"RCP 6.0","North Korea","PRK","North Korea",21,"North Korean Exclusive Economic Zone",127190075.65744,143349311.090342,12.7047926887183
"RCP 6.0","Norway","NOR","Bouvet Island",105,"Bouvet Island Exclusive Economic Zone",486004.541411412,528868.415954099,8.81964485726921
"RCP 6.0","Norway","NOR","Jan Mayen",144,"Fishieries Zone around Jan Mayen",69061383.5697235,71602603.4482027,3.67965387764584
